mine_type,historical_avg,planned_tonnes,downtime_hours,rainfall,forecast_tonnes
underground,15425.0,15694.7,195.8,1338.8,10528.8
underground,12158.9,13076.5,116.2,1631.6,9946.1
opencast,7192.2,7749.9,57.3,1529.5,7058.7
opencast,11491.2,12725.8,26.9,1313.0,12305.9
opencast,12740.9,14108.0,91.8,1070.7,12515.3
opencast,7388.6,7435.2,107.9,1108.0,6021.1
underground,16667.9,17955.9,126.1,765.5,15424.0
underground,17621.0,18477.9,102.4,1027.8,16586.8
opencast,12362.5,12426.5,131.7,1094.0,10078.7
opencast,12284.5,12421.0,32.7,864.1,11889.9
underground,8577.5,9362.9,211.3,1216.7,7335.6
underground,17990.5,18093.6,134.5,1293.0,16479.0
opencast,16428.7,18147.6,106.1,807.6,13940.1
underground,11831.1,12548.1,196.6,961.6,10266.6
opencast,8349.3,8826.8,32.4,933.2,7672.6
opencast,9792.6,10841.9,82.9,742.9,10311.2
underground,17433.0,18450.2,172.0,1514.8,13382.6
underground,16065.5,17827.5,101.8,1300.9,14320.1
underground,12150.6,13306.5,182.9,819.0,10913.8
opencast,8854.1,9712.4,79.7,876.9,8257.5
opencast,17578.2,18118.5,48.3,862.0,16338.1
opencast,10793.4,11255.3,75.2,1002.0,10184.0
underground,11397.4,12667.8,105.1,1401.2,10887.9
opencast,9375.5,9905.3,136.4,1076.7,7712.8
opencast,17879.0,19221.8,80.1,1486.4,16229.5
opencast,14547.9,15027.7,131.3,1296.2,12735.2
opencast,15684.7,16596.5,62.2,1113.9,16596.5
opencast,7346.6,8130.3,122.9,946.8,6428.9
opencast,17405.3,19476.9,53.7,911.6,19476.9
opencast,12690.8,13690.9,32.9,1411.0,13056.8
underground,11503.4,12822.0,164.7,1088.0,9827.4
opencast,16859.1,18522.8,36.5,973.6,18522.8
opencast,8683.7,9282.8,132.3,1633.5,7700.4
underground,8482.9,8903.0,170.5,1125.2,7385.7
underground,16342.4,17709.8,137.5,1470.5,15527.8
opencast,12315.1,12858.0,78.6,1784.1,10507.6
underground,12051.3,12581.9,92.4,1134.8,10728.9
underground,8808.2,9652.5,176.1,1468.4,7358.5
underground,17530.5,18729.6,131.6,1213.2,15352.8
underground,13002.9,14134.6,152.2,1602.7,10716.0
opencast,7788.9,8251.6,95.6,1071.3,7698.2
opencast,11824.9,12504.2,128.3,717.5,10631.9
opencast,6472.9,6719.2,62.8,1751.8,6719.2
opencast,13012.2,14469.6,123.6,1113.3,11968.8
underground,6116.9,6837.1,215.7,1290.5,5286.6
opencast,14026.4,15585.9,76.1,1341.2,14578.7
opencast,8750.5,8782.2,64.2,1524.9,8236.9
underground,16352.4,17731.0,171.5,1681.7,13500.9
opencast,16930.5,17817.1,34.9,999.6,17694.9
underground,6336.6,6664.4,151.7,975.0,5709.2
opencast,10711.3,10918.9,79.7,929.2,9976.0
underground,7490.0,8191.8,119.1,1751.2,7122.7
opencast,14802.7,16368.2,35.8,1568.9,15420.5
opencast,9654.2,10180.7,94.4,970.1,8719.3
opencast,11399.0,12108.9,43.3,1045.4,10911.9
opencast,17508.1,17827.7,26.1,774.2,15741.4
underground,11725.6,12450.8,197.3,880.4,9554.8
underground,12079.9,12594.8,120.9,1549.5,10716.1
opencast,15574.1,17274.2,20.0,1588.3,16017.4
underground,14185.4,15203.4,213.3,1395.1,10641.9
underground,15983.3,16043.7,125.4,1444.1,13656.4
underground,13755.3,14906.1,182.7,1662.9,11827.3
underground,10676.2,10746.1,179.2,769.3,8463.9
underground,17190.0,18853.1,115.5,1075.9,15611.6
underground,11388.2,12557.4,80.1,1791.6,9803.0
opencast,8184.2,8970.1,29.1,1151.0,8970.1
opencast,14362.7,14641.6,38.3,768.1,13536.6
opencast,8247.2,8784.6,118.3,1667.1,7297.5
opencast,10601.0,11133.8,75.2,1532.2,10275.6
underground,10121.1,10595.1,101.2,1393.4,8572.3
opencast,8762.2,9016.9,113.9,1315.9,7722.6
underground,13558.6,14201.1,189.9,1521.5,10197.7
opencast,9415.9,9798.6,27.1,1653.6,8812.2
underground,12615.8,13386.7,194.0,1126.8,10349.0
underground,9617.6,10344.7,88.0,1788.7,9308.6
opencast,9600.9,10561.5,36.5,1054.2,10297.9
opencast,13897.3,14247.1,59.3,1305.6,12876.0
opencast,7850.6,8237.6,140.0,1054.7,7082.7
opencast,12218.0,13091.9,106.1,1575.5,10438.9
opencast,15686.4,17354.1,59.1,1610.0,17226.0
underground,15173.4,16332.6,89.9,1346.2,14126.4
underground,10695.1,11428.1,171.0,873.6,8876.6
opencast,15559.3,16230.9,89.2,1490.6,14538.5
opencast,11899.5,13149.7,58.1,941.2,11360.2
opencast,11654.2,12627.4,36.7,1258.2,12627.4
opencast,11179.3,11431.5,94.7,1439.3,8910.1
opencast,16231.2,17343.8,125.8,1151.2,13786.7
opencast,8361.7,8445.0,131.8,1107.9,6964.5
opencast,15228.1,17032.2,132.2,1201.1,14660.8
underground,6782.9,7004.4,168.5,1702.0,4887.6
underground,6639.1,7226.0,169.8,1106.9,5205.0
underground,6391.7,7153.7,197.1,1771.6,5091.5
opencast,8380.3,9056.6,48.5,1131.7,7779.6
opencast,11099.4,12289.8,91.9,1023.1,9976.9
underground,11750.9,13138.3,135.1,1732.3,10097.8
opencast,11935.4,12845.3,27.9,1268.1,12845.3
underground,6352.8,6475.0,113.3,1585.9,5043.3
opencast,12426.7,12893.6,55.9,1308.8,12429.5
opencast,13729.0,15310.8,52.3,1132.2,13770.5
opencast,7702.8,8268.1,136.9,1000.8,7339.1
opencast,17658.9,18808.3,45.6,1041.8,17775.4
opencast,16284.3,17170.4,78.8,1590.3,16972.9
opencast,9077.7,9237.2,51.0,1439.8,8687.9
underground,11415.7,11738.4,156.4,852.1,10176.3
opencast,14865.8,14969.8,101.0,1595.7,13778.4
opencast,11263.2,12375.3,85.6,905.4,10511.5
opencast,15626.0,16966.5,45.6,1137.1,16966.5
opencast,11497.4,11807.9,132.5,1194.0,9735.8
underground,9244.6,9978.5,191.3,1149.7,8719.3
underground,11709.5,12273.9,141.0,963.9,10582.1
underground,14401.4,15684.5,113.4,890.7,12829.2
opencast,17035.6,17554.8,84.8,990.8,15900.9
opencast,13873.7,14758.4,44.1,1157.8,12442.5
opencast,15613.6,16573.1,99.3,856.6,13584.0
underground,17783.1,19592.9,176.1,1111.0,15435.4
underground,9536.2,10384.2,139.0,1583.2,7853.7
opencast,14666.4,15025.4,46.7,770.7,14590.6
underground,14868.8,15745.8,186.6,1011.0,11291.5
opencast,7221.1,7896.3,86.7,705.0,7165.1
opencast,9359.1,9752.9,136.3,1516.9,7716.2
underground,16634.3,17825.4,168.3,718.1,14398.6
underground,12313.8,12877.9,194.6,1012.4,10422.1
opencast,17460.3,18017.4,114.9,880.4,15653.4
opencast,12151.6,12335.1,113.9,1676.3,9982.7
opencast,16327.2,16963.2,24.5,1355.3,16963.2
opencast,8898.5,9542.9,137.8,858.8,7376.4
underground,7545.2,7701.0,187.8,840.2,6072.5
underground,13523.5,14767.9,185.9,1176.4,13082.9
opencast,8319.1,8466.0,138.0,1032.3,7443.0
opencast,16995.2,17612.5,64.0,1319.5,17471.2
underground,9439.7,10225.2,186.3,1255.9,6875.8
underground,16074.0,16474.6,186.0,868.5,15389.7
opencast,13933.4,14866.2,103.5,796.4,12860.1
opencast,15041.8,15833.0,136.5,1287.4,12330.3
opencast,12554.2,13520.5,122.7,930.4,11671.0
opencast,12884.8,13451.4,60.2,1780.0,11716.6
underground,17686.5,17721.2,86.8,1235.3,15019.3
opencast,6078.6,6215.3,30.3,974.8,6049.2
underground,10456.7,10618.2,188.3,1143.1,8180.4
underground,13816.2,15123.0,130.4,706.7,11479.5
opencast,14557.8,15600.5,61.2,968.2,13694.0
underground,15831.6,16896.1,120.3,837.1,13311.9
underground,6625.2,6927.4,127.0,1466.7,5989.2
opencast,11672.5,13039.7,121.3,841.0,11408.1
underground,15097.7,16489.4,120.9,1695.9,14774.8
opencast,8683.4,9331.0,100.7,1489.3,8760.7
underground,11010.0,11244.0,96.8,1597.4,10790.1
underground,7548.7,8150.5,159.4,1171.9,6789.7
underground,12164.2,12319.9,176.5,1728.5,8490.4
opencast,16574.5,16719.6,70.9,1693.2,14211.7
opencast,9192.1,9484.7,28.0,1692.1,8112.8
underground,17910.0,17924.7,191.9,1278.4,13309.4
opencast,14395.4,15597.6,101.4,1544.3,13432.6
opencast,17492.5,18506.0,52.1,1792.1,16875.1
opencast,15577.7,16169.6,24.2,1335.9,16169.6
opencast,14754.8,15216.9,118.5,1551.3,12109.9
opencast,12649.4,13951.0,47.1,1431.5,12370.3
opencast,15296.8,15534.7,57.7,1726.0,14229.9
opencast,15729.8,17352.2,82.4,811.6,15074.0
underground,6293.3,6418.5,88.6,1470.0,5746.0
opencast,7755.5,7936.0,93.4,1280.9,6083.0
underground,16882.2,18142.0,165.1,1110.4,15075.2
underground,13600.5,14577.7,153.6,758.4,11578.6
underground,17814.2,19830.5,194.8,770.1,15474.9
underground,9124.8,9927.6,153.9,1646.6,7302.8
underground,6618.6,7290.8,95.3,1486.4,6800.9
underground,14877.0,14915.7,213.8,749.4,10442.1
underground,13679.4,13867.2,219.7,1176.3,9093.9
underground,10792.6,11529.4,171.1,1495.6,8649.7
underground,10447.7,11542.9,206.9,1159.1,7256.2
underground,16111.6,17432.5,161.0,1339.4,13023.4
underground,16167.6,17194.2,165.1,887.1,14942.9
opencast,6331.4,6426.0,45.3,1141.0,5805.9
opencast,6081.6,6487.4,24.3,1117.6,6487.4
opencast,10101.9,10419.3,93.4,968.8,9498.7
opencast,8993.9,10060.8,39.4,1744.9,8925.7
underground,9307.5,10059.6,84.1,1294.3,9241.8
opencast,7936.3,8804.6,63.2,1020.5,7670.9
underground,7526.0,8393.0,139.8,1288.5,6615.7
opencast,15935.4,16755.7,110.8,1275.0,14268.4
opencast,12373.4,12956.6,23.1,1471.4,12930.2
opencast,9880.1,10318.5,70.1,1069.3,9611.3
underground,8709.1,9167.0,203.9,1170.9,7789.5
opencast,16723.1,18340.2,105.5,1381.4,16985.7
underground,6668.1,6743.2,166.1,1369.3,5064.8
underground,16060.0,16910.9,155.4,780.9,13745.3
opencast,12398.7,13791.4,24.2,1443.8,13791.4
opencast,15746.9,17008.2,117.5,1649.9,14280.3
opencast,15279.6,16699.5,131.2,1157.5,13570.5
underground,14726.9,15218.4,171.8,753.9,10696.0
underground,9805.6,9976.3,204.7,1551.7,7935.0
opencast,12239.2,13675.1,51.0,1476.1,12294.3
underground,6113.0,6779.9,119.1,1789.3,5719.3
opencast,14050.4,15185.8,139.1,947.2,12549.4
opencast,9319.3,10124.7,97.0,1460.2,9216.5
underground,14435.7,15890.3,99.8,1756.8,13251.3
opencast,17261.3,17502.7,109.3,1758.7,13933.8
opencast,7592.5,7964.1,87.7,1108.5,7460.8
underground,9673.8,10165.4,161.0,1750.9,7754.5
underground,10165.6,11227.0,195.6,823.1,8848.2
opencast,9119.6,9783.0,76.5,1263.1,8624.2
underground,10305.3,10654.5,166.2,1164.6,7795.7
opencast,17706.3,18839.9,85.6,1375.5,13838.7
opencast,10935.5,11258.3,84.4,970.7,9520.7
opencast,15437.0,15832.0,24.0,924.1,15040.8
opencast,7498.1,7588.3,139.7,1089.8,6229.8
opencast,11523.1,11704.7,81.8,776.0,11003.7
opencast,17268.6,17355.4,88.5,1613.9,15825.2
underground,11489.8,11556.3,197.2,1267.9,8318.4
underground,15250.8,15643.5,151.9,1256.8,12461.8
opencast,8387.9,8821.6,57.1,1731.1,7851.2
opencast,17332.1,18926.8,115.0,1041.2,16651.7
opencast,14518.0,15405.8,40.4,1361.0,13555.8
opencast,14226.7,14339.9,49.9,1317.0,13652.1
opencast,17701.9,17890.9,106.9,1137.3,14859.2
underground,8670.2,9046.2,82.5,1464.0,9004.3
opencast,17596.4,18564.2,57.3,1363.5,17640.9
opencast,16699.2,17277.1,35.4,716.6,16224.8
opencast,17337.0,18623.0,104.7,874.4,15465.0
underground,13409.2,14754.3,119.5,1199.0,13381.0
opencast,17028.3,19023.0,87.9,726.6,18055.9
underground,13868.5,15407.6,100.5,1611.4,12727.6
opencast,14084.1,15231.2,125.0,1539.3,11614.4
opencast,10589.6,11820.6,51.7,1114.4,11333.3
opencast,8326.1,8751.6,93.0,1123.9,8190.5
opencast,12184.5,12659.9,107.0,1309.4,11746.5
opencast,8087.2,8460.4,90.3,1726.6,7205.4
underground,7375.2,8000.7,213.1,1197.2,5479.6
underground,16172.9,17336.3,124.8,747.3,14227.7
opencast,10504.4,11189.8,43.8,721.3,10389.6
underground,9570.5,10250.3,118.2,1220.0,9151.9
opencast,15327.4,16069.4,54.0,1784.6,13739.9
opencast,10195.1,11104.9,110.5,1224.0,10235.3
underground,7359.0,8127.2,217.7,1008.5,5336.2
opencast,16144.1,17631.7,101.6,1384.2,16522.3
underground,11877.0,12886.8,122.4,971.6,9985.2
underground,15018.8,16296.0,111.5,973.5,16211.3
underground,10941.9,12202.3,134.7,1718.6,9991.7
opencast,7812.9,7919.1,100.4,1076.6,7231.4
opencast,8727.0,9040.9,127.1,1337.6,7588.0
underground,6794.8,7254.9,95.6,935.8,6805.9
underground,7335.3,7730.0,103.2,1045.8,7336.5
underground,7773.6,8651.7,128.8,1201.2,7379.9
opencast,15446.1,16735.6,127.0,1285.9,13531.6
opencast,15955.2,16420.4,101.3,711.1,15409.3
opencast,10153.2,10268.2,118.5,1609.6,7850.3
opencast,12961.0,13534.6,101.9,1135.0,12586.4
opencast,13936.7,14426.5,99.5,1258.6,13922.7
opencast,7791.7,8241.3,83.8,709.0,7011.0
opencast,12653.8,12773.5,121.9,1481.2,10299.2
opencast,15484.8,16150.9,72.3,1091.7,14106.9
underground,17320.5,18373.1,151.0,1116.4,16083.5
opencast,14790.7,15644.4,91.7,1622.5,13945.2
opencast,9385.4,9922.9,75.2,1614.0,8466.8
underground,17175.6,18936.2,153.7,1529.6,12538.0
opencast,9654.2,10318.9,135.1,945.7,7405.7
opencast,13395.2,14299.4,92.9,1381.6,11524.3
underground,8087.6,8365.3,209.9,1213.7,5934.2
underground,8310.0,8590.6,208.7,1489.8,6055.1
underground,6851.6,6991.3,208.2,1163.2,5119.5
underground,12173.1,13477.9,212.7,1137.5,9417.3
opencast,15574.5,16316.4,48.8,1007.3,16316.4
opencast,14006.5,15574.1,109.6,1198.6,13515.1
underground,8823.7,9762.7,169.0,817.6,6733.0
opencast,16072.8,17829.9,77.9,1434.0,15716.1
underground,13939.1,14800.0,109.8,978.2,13596.8
underground,10523.4,11484.4,107.0,787.1,9411.7
underground,14550.3,14638.4,157.6,1254.6,12940.8
opencast,6730.1,6990.8,70.0,855.7,6881.9
opencast,9713.1,9789.5,35.4,1060.6,8709.3
opencast,6560.6,7038.4,128.6,756.7,5638.2
underground,6202.3,6632.0,94.6,1735.0,4848.7
underground,10031.1,10045.0,201.3,996.7,8267.6
underground,10319.3,10547.3,123.7,1009.2,8391.6
underground,12823.2,14152.0,110.4,877.0,12590.0
opencast,13839.6,15457.4,39.1,863.3,14833.5
underground,13367.5,13505.2,143.6,1266.6,11281.3
underground,14302.7,16002.8,134.5,1268.5,13000.4
opencast,17624.4,18441.6,58.0,717.8,17132.7
underground,17475.9,18701.3,142.5,873.6,14048.3
opencast,14924.5,16132.5,86.4,1177.0,12723.0
opencast,7593.3,7850.7,113.8,1678.0,6586.8
opencast,17621.4,18594.9,66.8,1087.5,16854.2
opencast,8036.7,8166.5,138.9,1251.1,7625.6
underground,6774.3,6822.2,178.4,1557.7,5011.3
opencast,17767.7,18090.1,21.8,1452.8,16730.1
opencast,11258.7,11827.0,56.8,1320.4,11006.1
underground,17726.0,19441.6,199.5,1740.5,12880.8
opencast,11690.3,11719.8,81.8,1293.4,10202.3
opencast,16426.3,17665.6,30.5,800.8,17665.6
underground,7372.1,8180.4,136.9,1210.1,6824.9
opencast,8920.8,9491.0,89.4,1156.6,8524.6
underground,9808.9,10280.2,106.6,1797.1,8985.3
opencast,17177.1,19098.2,54.4,859.5,17769.1
opencast,16397.6,17066.4,91.1,1028.9,14825.6
underground,6413.1,6594.5,114.9,1521.9,4839.8
underground,8555.4,9148.7,118.0,1529.2,7473.6
opencast,9368.5,10215.5,42.7,1497.3,9870.5
opencast,13310.8,13470.5,75.2,1209.0,12333.0
opencast,8359.8,8921.3,139.1,717.2,7830.3
opencast,9385.5,9903.7,79.5,1712.0,7698.4
opencast,17164.7,19158.1,67.4,1558.9,16306.1
underground,13578.3,14699.5,171.5,706.7,10055.8
opencast,10216.1,11199.4,38.5,1362.4,10440.7
opencast,10648.4,11566.1,76.9,762.1,10900.7
underground,6609.1,6878.3,210.0,1061.7,4831.6
opencast,13869.5,14205.4,124.6,1160.0,11013.9
opencast,6187.7,6273.2,36.1,1500.2,5889.3
opencast,12167.5,12597.9,125.8,1197.7,11288.5
underground,12692.5,12864.1,173.7,890.7,10810.7
opencast,10863.3,11452.9,73.7,1373.1,10684.0
underground,9863.5,10169.2,100.3,1386.7,8947.4
opencast,16129.0,17056.6,138.4,1209.8,13837.2
opencast,10058.2,11046.2,87.7,1250.7,8752.5
underground,13588.8,13707.8,110.4,736.4,12155.5
opencast,17322.6,17765.4,33.5,1279.2,17735.7
opencast,10607.4,11354.8,33.5,1765.2,10405.7
underground,11594.8,11717.6,102.0,849.3,10731.6
opencast,12782.7,13075.3,112.1,783.7,11375.3
opencast,15720.0,16878.5,20.5,782.4,15853.6
opencast,15462.6,15964.0,136.7,1121.0,13154.7
underground,8296.0,8409.7,91.4,1719.3,7426.8
opencast,11567.7,11667.8,138.5,960.3,9296.7
opencast,10324.6,10928.7,138.9,1541.9,8169.0
opencast,8860.0,9453.6,48.0,1593.1,9139.1
underground,7183.1,7926.8,103.7,1479.2,6506.9
opencast,9246.9,9660.8,96.2,829.2,8102.9
opencast,13920.0,15055.4,90.0,1255.4,13325.6
underground,6339.2,6813.5,105.3,1713.2,5631.9
underground,9840.8,10855.4,167.0,1155.4,8972.8
underground,17756.3,19615.1,183.3,1008.8,13247.2
opencast,7053.8,7086.1,133.5,1159.8,5599.6
opencast,13938.6,14119.6,73.5,1149.0,13347.5
underground,8139.2,8992.5,183.9,1320.0,6358.1
opencast,6024.7,6474.8,99.9,1758.6,5885.0
opencast,6945.3,7209.2,25.3,775.0,7209.2
underground,13526.7,15022.5,195.5,758.9,11440.8
underground,6453.8,6779.5,211.0,912.0,4972.4
opencast,15997.0,16594.1,59.0,1511.7,13165.7
underground,7285.0,7643.6,135.1,1032.6,6087.3
opencast,9707.3,10624.0,121.5,1471.1,8958.3
opencast,7474.3,7875.9,117.3,1771.6,6025.7
underground,10771.2,11742.0,187.8,763.1,9487.3
underground,17556.9,18755.2,161.0,981.1,16829.7
underground,9418.3,10048.4,153.3,1276.9,8244.5
underground,11232.5,12410.2,208.8,1687.2,8121.5
opencast,9931.4,10500.0,122.8,1473.6,9430.1
opencast,6957.5,7001.6,102.7,1330.0,5750.5
opencast,13805.2,14058.9,97.8,822.9,13431.6
opencast,9074.3,9079.2,116.1,1052.9,8324.3
underground,10787.3,11164.3,150.8,993.9,9206.6
opencast,6349.3,6732.9,92.1,1688.3,5838.2
opencast,15110.8,16413.2,26.4,731.0,15650.9
opencast,11370.3,11557.6,51.8,1084.5,11274.4
opencast,16082.2,16558.6,122.3,788.8,13162.3
opencast,7193.8,7472.8,54.0,1537.4,6967.8
underground,17576.2,17918.8,146.2,1351.1,13309.6
opencast,7842.4,8140.8,37.8,1532.6,7134.6
opencast,6226.8,6899.0,32.7,946.6,6379.1
underground,10745.1,11640.4,210.0,1303.0,8468.3
underground,16632.7,17450.3,198.1,1312.4,12968.3
opencast,15444.0,15835.0,52.6,1702.6,15649.5
opencast,14991.3,16272.2,80.7,1386.4,12972.4
underground,11784.5,13032.9,208.0,724.0,10253.4
underground,9643.8,9969.2,146.3,965.1,8641.9
opencast,6345.6,7078.8,42.6,1683.8,6096.5
opencast,9886.7,10610.9,43.5,1163.1,9805.0
opencast,7481.7,8201.2,75.0,1285.2,7029.6
underground,8301.1,8424.3,214.8,1174.4,5968.7
opencast,7996.9,8887.4,35.1,1442.8,7476.4
opencast,8430.6,8890.4,20.3,1561.6,8890.4
opencast,9331.0,9771.8,69.0,875.4,8070.5
opencast,17905.4,19514.1,119.4,861.8,17824.3
opencast,8932.7,9188.7,59.5,1326.2,9188.7
opencast,17837.4,18741.6,130.2,1792.3,16374.6
opencast,17722.5,19848.8,117.8,1486.5,17136.2
underground,8604.5,9149.9,141.2,1530.3,7553.2
underground,13446.6,14029.0,111.0,1553.5,11491.6
underground,13780.7,14068.8,88.8,1389.5,13830.6
opencast,13811.8,13941.2,113.3,753.1,12449.4
opencast,17902.0,19442.4,99.3,733.2,15823.7
underground,13542.4,14298.4,148.7,910.9,11024.6
opencast,17650.4,18003.7,83.8,1402.1,16138.0
opencast,15665.3,17086.9,118.2,765.0,13866.2
opencast,14483.2,15524.5,87.2,904.3,14621.4
opencast,15274.0,16659.7,131.8,1135.0,14793.7
underground,12134.6,13046.4,162.2,894.1,12318.2
opencast,6847.2,7017.4,67.6,1609.5,5876.5
opencast,14389.4,14901.1,136.5,1416.1,12522.2
underground,15676.2,16555.2,196.9,1470.6,10883.1
underground,15538.7,16909.7,212.1,1530.6,11142.8
opencast,15341.0,16450.0,77.9,1777.8,14963.9
underground,10426.8,10997.7,157.9,776.6,8796.9
opencast,17502.4,19081.2,104.4,1266.7,15605.9
opencast,11886.4,12103.2,20.7,1069.3,11095.8
underground,12246.2,12754.5,204.5,858.7,9299.5
underground,16512.5,17608.4,93.5,1653.3,13482.7
underground,12859.0,13906.6,184.2,1488.2,9896.9
underground,12685.3,13436.8,98.7,1176.6,11256.8
opencast,11334.6,11867.9,77.2,1321.4,10180.7
underground,9163.9,9511.4,201.1,1690.6,6446.6
underground,16001.3,17046.5,214.1,1327.0,12097.5
underground,16190.3,16845.7,190.4,1283.7,11741.4
underground,11714.6,12988.4,121.6,795.0,11069.8
opencast,17730.5,18128.0,47.9,1795.8,17826.5
opencast,16340.6,17057.3,54.8,1662.5,15894.1
opencast,10020.6,10220.8,54.8,890.6,10020.6
opencast,14334.8,15221.9,28.5,1349.4,15221.9
opencast,17649.1,19400.7,74.7,985.0,16907.8
underground,6550.0,6734.2,148.4,1248.4,5507.2
opencast,15714.0,17451.2,134.9,1235.7,15738.0
opencast,13442.4,13606.5,28.7,1365.6,12016.0
opencast,13112.1,14155.4,104.4,858.4,11146.2
opencast,9973.4,10552.1,67.2,780.2,9579.0
opencast,6518.2,6593.6,35.1,1657.2,5466.7
opencast,15007.0,15146.0,109.5,785.3,13010.5
opencast,13621.0,14604.4,40.0,1395.3,12845.2
opencast,13324.5,14426.6,126.1,1466.4,11426.3
opencast,14553.2,15999.3,107.4,810.2,11716.3
underground,13365.7,14275.6,208.5,1781.7,9598.7
opencast,16184.4,16468.5,57.5,727.5,14410.6
opencast,17031.9,17041.6,35.2,920.1,16880.1
underground,10468.5,10790.5,115.1,1322.4,8283.3
opencast,8992.3,9585.7,23.6,1769.6,8764.3
opencast,9862.1,10201.9,108.6,1212.3,9347.5
underground,12874.4,14152.1,173.7,964.1,10575.8
underground,13821.3,14649.9,172.9,851.5,11245.7
underground,10171.4,11196.2,133.8,1071.2,9707.6
underground,12609.8,13133.9,163.7,1361.7,9892.4
underground,7601.1,8316.5,138.4,864.1,6923.4
opencast,8461.4,9471.7,22.5,1352.9,9471.7
opencast,12387.3,12772.5,58.0,1309.3,11855.1
underground,10804.5,12100.2,117.3,888.5,9634.3
opencast,7505.6,8261.7,95.0,1753.8,6463.5
underground,15388.1,15992.2,144.5,1576.8,12963.6
opencast,11498.9,11902.7,110.7,1212.4,10641.1
opencast,6703.5,6962.7,107.3,1373.9,6502.1
opencast,7868.6,7913.5,68.1,1457.1,6833.8
opencast,11462.9,12501.0,56.0,1683.4,11311.4
opencast,6063.2,6775.2,79.5,1694.0,5869.9
opencast,16745.0,16929.9,84.6,1533.9,14828.8
opencast,11343.9,12614.9,84.4,1459.0,10461.6
underground,12566.1,12888.2,126.6,1604.0,10144.1
opencast,9935.1,10843.2,84.5,1461.9,10365.0
underground,12017.4,12097.9,200.4,968.4,9951.8
opencast,12070.8,12574.0,133.3,1633.9,10410.7
opencast,13812.9,13971.0,103.5,1598.1,11376.8
opencast,12024.6,12066.1,45.0,1585.8,10729.3
opencast,11334.5,12402.4,34.7,1382.1,12402.4
opencast,16290.4,17065.1,42.7,1078.9,16988.6
opencast,13814.6,14333.0,93.0,1782.1,11899.3
opencast,10875.1,11764.4,110.8,1455.3,10316.7
opencast,7060.1,7774.9,27.1,1045.3,7774.9
opencast,17180.4,19137.0,24.9,915.5,19137.0
opencast,13346.0,13869.0,92.0,1441.9,12288.4
opencast,16650.3,17492.0,111.0,1770.8,12379.1
opencast,10591.8,10850.3,30.9,1056.9,10259.3
opencast,12839.8,13872.9,105.3,1546.1,11231.2
opencast,14430.4,15894.6,50.2,1644.9,11682.7
underground,6208.8,6802.4,112.3,1622.4,6142.4
opencast,15106.4,15212.1,133.3,929.2,13832.2
opencast,17286.4,19033.8,78.6,1741.8,17531.8
opencast,12806.7,13302.0,72.1,913.4,11425.9
opencast,12800.1,13045.3,69.8,992.9,11914.0
opencast,13681.7,14672.9,64.8,969.1,13423.5
underground,8456.2,9282.3,118.9,1287.4,8011.3
opencast,17908.2,18771.5,60.0,1330.3,17322.8
opencast,8832.6,9237.2,128.0,857.0,7523.6
underground,7570.5,7791.6,203.6,1734.3,5681.2
opencast,9766.4,10827.9,27.6,1230.0,10827.9
opencast,15050.1,15912.4,107.9,1538.8,11375.8
underground,9868.5,10256.4,212.1,1638.9,7244.2
