state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Odisha,19.991,84.0749,751.7,23.6,1.66,0.365,0.226,28.3,0.53,1040.2,21.5,2.87,451.83,gondite_archean,0.369
Maharashtra,20.2568,78.9644,819.7,14.1,1.72,0.694,0.075,23.9,0.58,893.8,16.5,12.64,100.17,gondite_archean,0.508
Madhya Pradesh,22.8671,81.1511,730.9,6.2,1.07,0.299,0.146,22.5,0.741,860.4,29.7,13.77,155.1,gondite_archean,0.559
Odisha,22.0394,83.9462,417.8,28.1,0.62,0.288,0.133,33.5,0.726,981.7,-2.4,3.39,389.41,gondite_archean,0.507
Odisha,22.2254,85.5419,420.7,16.7,2.85,0.242,0.052,30.1,0.536,789.4,83.0,20.46,554.74,gondite_archean,0.54
Maharashtra,19.3813,79.6526,585.4,15.4,2.26,0.711,0.255,29.2,0.865,884.8,23.7,3.27,198.89,gondite_archean,0.562
Andhra Pradesh,17.5069,83.167,418.5,19.3,2.78,0.358,-0.092,33.8,0.29,457.9,-11.3,1.55,549.55,kodurite_archean,0.228
Karnataka,14.723,78.1594,389.9,20.7,1.97,0.158,0.098,24.8,0.424,627.1,28.8,7.24,721.39,archean,0.369
Odisha,21.7499,84.2347,818.4,8.0,0.73,0.172,-0.017,31.0,0.727,248.1,-13.6,6.56,418.71,gondite_archean,0.327
Odisha,20.0458,86.5162,856.9,13.7,0.96,0.536,-0.055,22.4,0.618,625.5,36.2,2.01,686.32,gondite_archean,0.506
Odisha,21.5157,83.569,183.3,28.2,0.7,0.542,-0.157,23.6,0.658,591.9,44.3,4.05,351.65,gondite_archean,0.528
Maharashtra,19.5125,79.0863,817.1,1.4,0.44,0.275,-0.284,24.9,0.36,1132.9,7.4,3.82,182.09,gondite_archean,0.426
Madhya Pradesh,21.9382,78.9932,427.5,19.8,1.42,0.327,0.269,34.2,0.677,773.8,30.0,0.18,88.22,gondite_archean,0.608
Odisha,21.1249,85.7172,306.3,5.7,2.54,0.741,0.015,24.7,0.364,890.4,88.5,14.16,577.87,gondite_archean,0.601
Odisha,19.533,83.9791,820.0,30.7,1.87,0.51,0.099,24.8,0.541,941.3,48.0,0.38,468.76,gondite_archean,0.396
Odisha,21.7141,83.7898,582.5,9.3,1.29,0.323,-0.087,33.5,0.629,429.3,90.4,22.1,372.91,gondite_archean,0.476
Maharashtra,19.5374,78.5624,309.8,21.2,0.34,0.448,0.058,27.3,0.518,828.5,42.9,5.47,187.57,gondite_archean,0.493
Maharashtra,20.0871,78.9928,755.3,28.2,2.15,0.313,0.054,27.8,0.402,734.8,65.0,10.54,118.62,gondite_archean,0.51
Andhra Pradesh,18.4882,83.8846,779.4,9.5,1.57,0.283,0.293,37.1,0.568,536.8,28.0,28.34,533.91,kodurite_archean,0.252
Goa,15.3794,74.231,775.6,11.8,2.52,0.172,0.058,25.7,0.315,675.6,3.1,3.03,821.38,laterite,0.2
Madhya Pradesh,23.7675,76.55,600.7,31.1,1.92,0.29,-0.285,35.9,0.646,789.4,69.0,4.11,390.92,gondite_archean,0.489
Karnataka,16.0788,77.9947,887.3,27.1,1.37,0.403,0.143,25.8,0.484,499.0,3.6,2.13,575.57,archean,0.296
Odisha,19.5536,86.957,442.2,14.1,2.1,0.281,0.27,34.6,0.54,614.9,96.1,1.46,747.86,gondite_archean,0.489
Jharkhand,22.4633,86.8855,619.7,21.7,1.64,0.288,-0.194,25.5,0.587,535.4,16.4,27.82,694.54,archean,0.334
Goa,15.7422,74.2975,239.1,14.5,2.32,0.568,-0.208,35.1,0.355,279.3,68.5,6.94,785.41,laterite,0.313
Odisha,22.1324,84.4296,203.6,31.2,2.88,0.667,0.186,32.5,0.458,800.9,-5.3,2.41,439.77,gondite_archean,0.404
Maharashtra,20.2397,78.6621,276.1,24.2,0.41,0.661,-0.003,29.7,0.705,848.6,71.5,6.67,110.58,gondite_archean,0.531
Odisha,22.1359,86.291,626.8,29.9,2.63,0.575,0.202,33.2,0.681,1086.3,22.2,17.02,631.24,gondite_archean,0.558
Andhra Pradesh,17.5439,84.1516,203.1,12.4,2.28,0.246,0.191,35.3,0.443,510.7,37.2,31.79,620.88,kodurite_archean,0.16
Madhya Pradesh,21.9093,79.072,532.0,27.5,0.5,0.607,0.025,37.4,0.705,491.7,42.8,0.56,84.45,gondite_archean,0.569
Karnataka,16.6031,74.7694,565.7,12.8,1.94,0.177,0.223,37.6,0.564,554.8,25.5,11.77,679.79,archean,0.24
Maharashtra,20.1148,79.0473,897.7,15.5,1.46,0.248,0.177,33.1,0.695,1042.1,32.8,23.0,115.2,gondite_archean,0.447
Karnataka,16.1504,76.0904,319.4,34.5,1.35,0.686,-0.162,25.4,0.529,614.1,52.6,5.13,639.41,archean,0.429
Jharkhand,22.3711,86.7372,721.3,27.2,2.57,0.607,0.076,24.1,0.67,758.3,3.0,1.07,678.55,archean,0.426
Maharashtra,20.0758,78.901,493.3,3.2,1.83,0.311,0.179,27.0,0.527,774.9,34.1,5.23,121.06,gondite_archean,0.456
Madhya Pradesh,22.0208,79.5599,788.1,27.5,0.31,0.438,-0.237,25.9,0.848,775.5,51.5,0.08,68.53,gondite_archean,0.695
Karnataka,15.3651,74.8515,380.5,2.1,0.42,0.388,-0.22,31.1,0.639,784.7,16.5,0.88,783.49,archean,0.393
Madhya Pradesh,23.4727,74.2527,849.0,2.8,1.72,0.575,0.223,33.4,0.49,997.8,41.3,13.6,560.58,gondite_archean,0.578
Karnataka,16.1833,76.6056,685.3,3.8,0.37,0.298,-0.204,35.9,0.396,554.1,44.3,5.52,611.1,archean,0.448
Madhya Pradesh,23.5172,75.8276,897.1,34.1,2.02,0.27,0.108,23.2,0.691,757.9,61.7,4.43,426.44,gondite_archean,0.575
Karnataka,14.4118,78.4506,132.1,30.5,1.82,0.413,0.135,29.8,0.324,545.4,48.8,1.89,752.31,archean,0.402
Madhya Pradesh,23.2105,79.8649,205.3,25.3,2.75,0.258,-0.157,37.5,0.599,721.7,-2.9,16.37,160.14,gondite_archean,0.437
Karnataka,15.3463,75.9369,574.4,6.6,1.3,0.732,-0.145,32.5,0.653,518.4,-10.1,0.61,726.09,archean,0.396
Odisha,21.0593,84.6795,763.1,15.7,0.9,0.52,0.124,24.7,0.662,1024.5,68.8,13.11,472.94,gondite_archean,0.561
Madhya Pradesh,24.0389,75.6467,189.5,10.2,0.36,0.469,0.262,22.6,0.544,573.0,33.7,5.66,477.6,gondite_archean,0.503
Odisha,19.945,86.9532,872.1,1.2,2.87,0.533,0.221,29.3,0.308,1367.6,16.6,0.24,733.23,gondite_archean,0.548
Karnataka,16.5804,75.3074,638.7,34.0,0.46,0.554,-0.034,35.9,0.586,476.6,28.0,7.7,645.35,archean,0.522
Andhra Pradesh,18.3559,82.5608,844.8,24.4,2.09,0.279,0.095,28.3,0.377,569.3,41.9,12.2,436.65,kodurite_archean,0.265
Madhya Pradesh,23.5846,81.0281,423.3,12.1,2.07,0.635,0.157,34.8,0.715,727.7,41.4,0.05,216.67,gondite_archean,0.487
Karnataka,14.382,76.0847,656.4,14.2,1.46,0.293,-0.076,25.6,0.54,520.0,56.0,4.98,816.99,archean,0.498
Karnataka,17.6117,76.5763,483.3,1.9,1.16,0.378,-0.061,31.3,0.799,805.0,45.8,10.13,473.59,archean,0.492
Jharkhand,22.0365,85.3916,106.1,23.0,2.71,0.296,0.256,23.0,0.497,770.6,28.0,2.37,538.23,archean,0.344
Odisha,20.4219,86.3106,531.3,11.6,1.91,0.58,-0.136,28.6,0.544,748.2,14.2,5.96,654.08,gondite_archean,0.518
Maharashtra,19.2672,79.6346,305.3,33.7,1.55,0.634,0.03,22.7,0.617,807.8,68.6,17.25,211.59,gondite_archean,0.574
Odisha,20.1361,85.6384,428.8,29.6,2.72,0.362,-0.158,34.5,0.656,667.9,83.9,0.8,596.14,gondite_archean,0.495
Madhya Pradesh,22.5812,78.6929,234.4,26.1,2.62,0.28,-0.243,22.4,0.707,1104.7,-0.0,3.97,164.33,gondite_archean,0.525
Madhya Pradesh,22.7387,81.9023,209.2,24.6,1.33,0.407,0.131,33.1,0.596,673.2,-2.2,0.66,205.67,gondite_archean,0.499
Odisha,22.1826,84.1715,358.7,8.7,1.19,0.192,0.011,23.1,0.485,920.3,64.2,8.42,413.73,gondite_archean,0.51
Madhya Pradesh,22.1352,76.664,635.6,34.8,2.05,0.485,0.138,29.4,0.572,643.8,13.6,6.14,273.62,gondite_archean,0.508
Odisha,20.8511,86.1466,378.1,23.6,2.43,0.706,-0.159,28.4,0.569,936.0,40.3,7.82,626.92,gondite_archean,0.617
Odisha,21.7658,83.947,760.9,27.6,2.18,0.172,-0.118,26.2,0.475,732.2,40.6,2.92,388.97,gondite_archean,0.507
Karnataka,14.9068,76.9024,512.5,32.3,1.59,0.745,0.211,25.3,0.467,893.3,43.0,2.91,731.68,archean,0.505
Odisha,20.7089,84.1073,656.0,12.8,2.93,0.535,0.193,24.1,0.856,720.0,22.1,5.59,424.67,gondite_archean,0.555
Karnataka,12.9514,75.9701,154.5,1.9,0.58,0.728,0.03,37.5,0.304,530.7,-43.4,0.89,969.97,archean,0.389
Madhya Pradesh,21.7561,78.9567,620.2,6.2,0.37,0.618,-0.024,22.9,0.492,697.8,29.2,0.85,68.8,gondite_archean,0.49
Maharashtra,19.1557,79.5188,897.4,28.7,1.92,0.334,0.074,30.4,0.435,738.2,35.2,1.73,224.39,gondite_archean,0.537
Karnataka,14.6918,77.8102,686.9,27.2,0.23,0.4,-0.011,22.3,0.624,500.7,31.5,1.94,730.75,archean,0.337
Odisha,20.2236,86.9156,741.2,33.6,1.57,0.216,0.029,29.3,0.417,772.0,67.6,5.17,720.72,gondite_archean,0.438
Karnataka,14.5641,76.3378,728.0,31.3,2.87,0.622,-0.111,33.0,0.328,578.7,26.6,8.11,788.05,archean,0.441
Madhya Pradesh,24.1329,79.0934,591.1,3.3,1.65,0.24,0.142,30.2,0.533,798.0,44.3,0.6,282.25,gondite_archean,0.466
Odisha,19.5363,86.8478,690.0,13.0,1.03,0.36,0.165,32.6,0.506,692.8,45.5,11.56,737.85,gondite_archean,0.435
Odisha,19.5628,83.7876,874.3,11.0,2.35,0.525,-0.071,25.3,0.594,594.9,54.4,6.05,450.22,gondite_archean,0.584
Odisha,22.4055,86.2955,334.3,34.3,1.89,0.499,0.149,35.0,0.458,851.8,52.3,2.04,633.58,gondite_archean,0.507
Karnataka,14.8085,76.2576,590.4,33.1,0.87,0.223,-0.182,36.2,0.359,842.6,36.4,14.99,766.06,archean,0.393
Goa,15.2018,74.1775,468.4,29.6,2.24,0.616,0.094,24.8,0.479,426.1,7.2,10.36,840.52,laterite,0.221
Andhra Pradesh,17.8203,83.5117,772.6,25.9,1.72,0.504,0.005,26.8,0.687,634.7,25.0,11.45,550.01,kodurite_archean,0.384
Odisha,20.8847,83.5327,297.3,25.7,2.98,0.21,-0.059,34.8,0.591,499.9,56.4,1.67,361.83,gondite_archean,0.564
Karnataka,17.0946,76.7169,104.2,26.9,0.3,0.597,-0.179,37.3,0.346,438.7,17.4,16.74,515.23,archean,0.303
Jharkhand,22.7366,85.8972,677.7,31.1,1.86,0.385,-0.052,33.1,0.66,545.4,33.3,5.25,597.42,archean,0.359
Madhya Pradesh,21.227,78.6399,549.2,20.1,1.89,0.556,0.183,26.3,0.559,1042.5,66.3,9.84,47.45,gondite_archean,0.566
Maharashtra,20.2932,79.3804,218.0,12.2,1.42,0.203,-0.168,31.6,0.583,895.4,84.9,12.32,99.95,gondite_archean,0.488
Odisha,20.7297,86.4393,407.1,20.4,1.85,0.261,-0.083,27.4,0.497,934.3,-9.0,22.6,659.39,gondite_archean,0.441
Odisha,20.789,86.5546,773.5,7.3,2.45,0.425,-0.01,24.1,0.585,704.3,-33.4,10.46,669.87,gondite_archean,0.44
Maharashtra,19.3973,79.7205,208.3,26.5,2.04,0.724,-0.259,22.9,0.443,601.5,47.3,2.3,197.26,gondite_archean,0.504
Odisha,21.7782,85.0741,721.4,3.2,1.57,0.17,-0.262,36.5,0.572,553.8,-5.7,18.41,505.3,gondite_archean,0.337
Odisha,21.4914,86.8719,548.1,32.9,0.35,0.401,-0.144,33.7,0.427,893.4,5.1,28.61,692.43,gondite_archean,0.575
Madhya Pradesh,22.2233,74.9128,221.0,8.7,0.9,0.66,0.037,30.4,0.525,810.5,47.9,0.68,447.78,gondite_archean,0.646
Karnataka,15.1505,75.1631,856.6,29.9,2.07,0.427,-0.053,32.4,0.435,674.8,63.7,4.92,785.48,archean,0.433
Odisha,21.8588,84.2048,306.9,6.6,1.12,0.604,0.012,25.3,0.517,882.3,46.3,11.83,415.48,gondite_archean,0.521
Odisha,19.6956,85.1238,827.4,19.3,1.59,0.213,0.094,35.2,0.717,666.4,-7.4,12.59,564.77,gondite_archean,0.45
Madhya Pradesh,23.221,80.3833,416.8,32.1,1.69,0.245,0.118,34.7,0.66,694.4,31.8,32.85,159.39,gondite_archean,0.484
Odisha,20.106,84.1448,815.2,23.2,0.63,0.414,0.069,23.3,0.583,828.2,51.4,4.33,452.72,gondite_archean,0.521
Jharkhand,23.3358,86.2693,232.8,31.0,1.4,0.247,-0.292,31.0,0.735,704.8,8.7,15.63,648.09,archean,0.418
Andhra Pradesh,18.3112,83.9205,351.5,17.0,2.5,0.426,-0.085,29.9,0.41,708.5,30.4,13.99,548.4,kodurite_archean,0.248
Odisha,20.2196,83.9969,378.4,16.3,2.3,0.541,0.073,27.6,0.548,1025.0,39.3,1.08,433.4,gondite_archean,0.549
Maharashtra,19.8128,79.8727,155.7,6.9,2.6,0.286,0.202,26.5,0.725,982.5,-10.0,1.91,152.69,gondite_archean,0.511
Odisha,20.4118,85.7861,850.6,30.6,2.34,0.623,0.099,26.2,0.593,910.1,14.2,4.74,601.64,gondite_archean,0.522
Karnataka,17.6197,76.6866,404.3,34.2,0.51,0.404,-0.275,33.8,0.493,744.3,17.9,19.33,466.5,archean,0.423
Maharashtra,21.0123,78.536,870.2,25.7,1.05,0.648,-0.131,36.0,0.601,650.8,15.6,2.22,59.48,gondite_archean,0.538
Odisha,20.9063,84.5544,578.7,11.1,1.04,0.596,-0.271,36.4,0.611,959.8,61.0,1.64,463.77,gondite_archean,0.581
Odisha,20.2185,86.281,127.7,20.8,2.99,0.663,0.013,23.0,0.602,1012.7,45.0,14.14,657.2,gondite_archean,0.586
Andhra Pradesh,18.3577,83.5349,444.3,11.8,1.42,0.614,0.061,36.3,0.723,287.4,47.3,9.7,512.84,kodurite_archean,0.44
Odisha,21.0371,83.8648,407.6,17.6,2.03,0.72,0.06,33.9,0.835,801.4,35.8,3.59,390.74,gondite_archean,0.553
Karnataka,12.2967,75.0601,321.5,34.0,1.13,0.439,-0.182,31.8,0.413,526.1,23.7,0.06,1073.7,archean,0.38
Odisha,19.6102,83.8781,371.1,28.3,1.8,0.458,-0.124,36.9,0.467,741.1,16.2,3.39,455.21,gondite_archean,0.484
Karnataka,17.6824,76.4742,661.8,34.8,0.57,0.315,-0.063,28.7,0.62,623.7,48.1,2.96,473.17,archean,0.515
Andhra Pradesh,18.9326,84.1424,101.3,22.6,0.34,0.305,-0.264,31.7,0.385,578.6,-4.0,3.68,521.74,kodurite_archean,0.12
Odisha,20.7568,86.1291,156.8,3.7,1.19,0.715,0.101,32.9,0.701,433.2,43.6,16.55,627.19,gondite_archean,0.547
Maharashtra,19.3014,80.3049,153.2,19.2,0.6,0.157,-0.047,26.7,0.881,682.9,-10.6,10.45,218.72,gondite_archean,0.506
Madhya Pradesh,23.9596,79.5399,443.9,23.9,0.97,0.334,0.173,29.1,0.623,877.7,-7.1,6.98,248.93,gondite_archean,0.429
Karnataka,15.907,77.3223,650.7,13.7,0.67,0.408,-0.214,36.2,0.404,574.0,30.0,8.1,612.03,archean,0.367
Karnataka,12.4661,76.1385,349.0,24.0,1.9,0.369,-0.169,37.8,0.747,567.6,27.7,0.22,1015.31,archean,0.352
Karnataka,18.2661,76.0368,131.2,2.1,1.29,0.246,-0.286,34.1,0.304,589.0,26.5,17.54,452.71,archean,0.348
Madhya Pradesh,23.8935,81.8721,330.7,33.7,1.29,0.381,-0.096,30.7,0.582,543.9,77.7,14.35,290.25,gondite_archean,0.519
Karnataka,13.9652,75.5373,255.7,3.0,1.16,0.312,0.28,30.9,0.635,295.1,24.5,7.87,883.11,archean,0.295
Karnataka,14.6116,78.4754,804.3,22.2,1.79,0.522,-0.179,28.3,0.516,546.5,-9.3,26.6,729.94,archean,0.36
Goa,15.5777,74.0667,796.0,5.4,2.41,0.225,0.177,26.4,0.425,185.5,9.3,15.93,815.25,laterite,0.175
Madhya Pradesh,22.3137,76.2863,262.6,26.9,1.28,0.457,-0.005,31.2,0.703,712.6,48.8,25.0,317.18,gondite_archean,0.59
Odisha,19.8278,86.4889,451.3,29.8,2.7,0.187,0.23,29.2,0.84,818.5,87.3,10.26,691.35,gondite_archean,0.541
Maharashtra,19.3361,79.0988,387.0,28.4,0.98,0.276,0.274,22.1,0.496,951.3,51.3,1.23,201.7,gondite_archean,0.561
Maharashtra,20.9223,79.8171,712.9,29.8,1.92,0.203,-0.007,23.2,0.363,453.5,33.6,0.94,32.55,gondite_archean,0.442
Andhra Pradesh,18.9215,82.6446,864.1,18.8,1.04,0.196,0.0,34.7,0.448,526.5,12.8,2.8,400.43,kodurite_archean,0.216
Odisha,20.343,86.3122,843.4,14.8,2.74,0.343,-0.014,25.6,0.569,784.6,-2.9,8.35,656.51,gondite_archean,0.523
Odisha,22.166,85.2608,459.5,20.9,1.95,0.193,0.11,25.9,0.661,891.9,44.3,5.87,525.44,gondite_archean,0.587
Odisha,21.826,84.4499,497.4,10.7,0.57,0.528,-0.267,34.0,0.485,783.1,62.3,0.52,440.8,gondite_archean,0.469
Andhra Pradesh,17.5057,82.9936,692.7,11.8,0.49,0.366,-0.138,35.5,0.593,377.3,12.8,19.26,537.61,kodurite_archean,0.314
Karnataka,18.2665,74.8572,649.6,17.8,1.29,0.53,0.122,22.1,0.583,496.7,33.6,11.45,546.88,archean,0.406
Jharkhand,23.4051,85.5961,184.3,27.6,2.0,0.179,-0.084,37.3,0.18,663.4,-7.2,3.68,583.88,archean,0.299
Karnataka,12.3403,77.5703,433.2,29.0,2.58,0.277,0.094,29.6,0.487,733.0,53.1,2.8,992.84,archean,0.515
Odisha,21.4549,86.0851,352.5,22.9,1.31,0.578,-0.18,36.2,0.455,497.5,-5.2,14.44,611.56,gondite_archean,0.431
Odisha,20.6373,84.6807,115.5,5.2,1.36,0.446,-0.057,30.5,0.551,783.0,51.9,5.86,484.09,gondite_archean,0.511
Maharashtra,19.7797,80.048,718.3,18.7,2.93,0.225,-0.29,34.3,0.531,818.4,62.9,5.84,160.06,gondite_archean,0.47
Karnataka,14.4163,74.5054,339.8,23.0,2.93,0.658,-0.286,36.4,0.6,795.4,-28.0,2.89,892.13,archean,0.368
Odisha,20.1847,84.3631,487.3,26.4,1.53,0.185,0.275,37.1,0.624,790.3,33.3,2.04,469.92,gondite_archean,0.444
Odisha,19.9224,85.6784,725.1,20.7,0.61,0.637,0.082,28.2,0.42,949.7,54.4,2.75,608.21,gondite_archean,0.526
Karnataka,17.7859,77.3309,149.8,6.0,0.22,0.529,-0.031,24.1,0.525,776.9,28.9,9.11,417.04,archean,0.324
Odisha,20.3241,86.3244,467.7,19.6,1.41,0.176,-0.201,29.1,0.614,854.2,39.6,2.4,658.3,gondite_archean,0.513
Karnataka,15.8581,74.7923,597.9,34.4,0.73,0.626,0.245,37.1,0.523,774.4,26.7,10.14,742.57,archean,0.352
Odisha,21.4218,85.8331,230.2,20.2,2.36,0.449,-0.293,22.1,0.634,738.5,54.1,2.01,585.89,gondite_archean,0.45
Karnataka,17.5123,77.4154,176.3,15.6,0.28,0.439,0.097,23.9,0.429,346.7,-4.8,11.23,440.99,archean,0.23
Goa,15.7607,74.0886,385.7,27.8,0.9,0.488,-0.085,32.5,0.355,300.5,-28.6,0.32,798.19,laterite,0.193
Odisha,20.0257,86.5337,326.0,33.3,1.83,0.412,0.048,30.3,0.463,971.6,57.9,23.42,688.74,gondite_archean,0.485
Goa,15.3356,74.1902,481.1,17.9,0.77,0.505,-0.188,27.3,0.396,508.8,9.9,4.21,827.92,laterite,0.266
Andhra Pradesh,18.7537,83.1644,654.9,27.2,2.03,0.241,0.226,30.6,0.401,176.7,34.1,0.45,455.04,kodurite_archean,0.093
Jharkhand,22.4523,85.6084,343.2,8.8,0.2,0.588,0.28,25.6,0.666,824.1,22.5,2.89,563.81,archean,0.518
