state,lat,lng,elevation,ndvi,land_surface_temp,soil_moisture,rainfall,geology_type,prospectivity_score
Maharashtra,19.4065,80.3219,758.0,0.72,33.6,0.234,1160.1,gondite_archean,0.709
Goa,15.6929,73.8226,121.1,0.376,35.0,0.346,865.5,laterite,0.151
Jharkhand,23.6842,86.6767,475.0,0.399,26.4,0.067,1651.2,archean,0.64
Andhra Pradesh,18.9996,84.4933,544.3,0.611,37.1,0.305,972.1,kodurite_archean,0.346
Jharkhand,23.2123,85.4573,637.4,0.521,27.7,0.084,1438.7,archean,0.555
Madhya Pradesh,23.7031,78.1613,781.7,0.481,31.0,0.313,1143.8,gondite_archean,0.754
Maharashtra,19.5324,78.7727,111.6,0.36,31.4,0.168,1181.2,gondite_archean,0.767
Goa,15.2786,74.057,726.9,0.388,32.0,0.309,1744.5,laterite,0.175
Karnataka,18.3702,76.4705,363.0,0.53,25.8,0.073,841.8,archean,0.545
Odisha,19.9557,83.9859,612.7,0.259,27.5,0.319,1221.4,gondite_archean,0.599
Odisha,19.6226,84.0913,322.9,0.256,23.4,0.086,1206.9,gondite_archean,0.679
Odisha,20.5928,85.262,652.3,0.174,34.8,0.238,789.9,gondite_archean,0.623
Andhra Pradesh,18.6224,82.869,267.5,0.372,29.8,0.235,1105.8,kodurite_archean,0.354
Karnataka,16.8586,74.6467,301.9,0.578,36.3,0.204,1285.3,archean,0.575
Madhya Pradesh,21.8486,76.1539,401.8,0.162,27.2,0.113,1060.2,gondite_archean,0.556
Odisha,22.1716,85.5776,643.3,0.624,30.0,0.076,1290.8,gondite_archean,0.825
Karnataka,12.8293,75.6351,390.5,0.538,31.1,0.157,1785.2,archean,0.623
Madhya Pradesh,21.8303,74.8143,222.3,0.298,24.6,0.106,1013.6,gondite_archean,0.652
Karnataka,18.3855,74.9482,418.3,0.732,35.8,0.295,983.7,archean,0.558
Odisha,21.5059,86.7528,545.4,0.493,26.5,0.281,905.7,gondite_archean,0.648
Karnataka,13.5757,74.9593,588.5,0.323,31.3,0.096,1229.3,archean,0.395
Madhya Pradesh,21.1814,76.6928,207.5,0.188,37.8,0.147,1590.9,gondite_archean,0.705
Maharashtra,20.4891,79.4432,429.5,0.359,36.9,0.299,1761.5,gondite_archean,0.622
Odisha,21.6926,86.7842,245.0,0.19,33.9,0.222,1626.0,gondite_archean,0.679
Odisha,19.991,84.0749,751.7,0.549,30.4,0.158,1664.9,gondite_archean,0.693
Karnataka,17.3079,76.2565,401.6,0.428,26.8,0.274,1253.0,archean,0.583
Karnataka,15.5331,78.1259,599.4,0.22,37.0,0.238,1068.4,archean,0.495
Odisha,21.8821,85.6703,526.8,0.686,34.6,0.096,1042.9,gondite_archean,0.784
Odisha,21.2097,86.1686,801.4,0.355,35.1,0.083,1631.1,gondite_archean,0.615
Odisha,20.6919,86.2905,219.9,0.288,33.6,0.266,1405.3,gondite_archean,0.702
Odisha,20.5371,84.1356,826.8,0.5,28.4,0.189,1742.0,gondite_archean,0.849
Odisha,21.2587,85.2706,589.2,0.161,36.0,0.33,1321.6,gondite_archean,0.686
Maharashtra,19.3813,79.6526,585.4,0.404,33.8,0.33,1718.1,gondite_archean,0.727
Karnataka,12.736,78.4394,771.1,0.225,36.7,0.311,1270.7,archean,0.405
Odisha,20.5056,86.31,103.7,0.35,28.4,0.211,1711.8,gondite_archean,0.796
Karnataka,14.2552,77.45,461.8,0.285,29.2,0.092,894.0,archean,0.315
Goa,15.2899,74.0903,605.8,0.158,32.6,0.103,1757.2,laterite,0.224
Odisha,20.7439,83.7987,897.5,0.451,31.5,0.07,1525.0,gondite_archean,0.704
Odisha,20.0721,83.6279,477.7,0.489,23.1,0.283,1198.6,gondite_archean,0.699
Madhya Pradesh,22.5427,77.2061,547.7,0.243,24.9,0.309,1740.7,gondite_archean,0.579
Madhya Pradesh,22.4306,74.2031,224.9,0.58,32.5,0.058,944.2,gondite_archean,0.644
Odisha,21.5157,83.569,183.3,0.63,24.9,0.246,962.0,gondite_archean,0.71
Maharashtra,21.1392,80.1604,417.7,0.551,25.3,0.138,1686.0,gondite_archean,0.695
Odisha,19.7565,84.2276,121.2,0.259,31.3,0.176,1681.9,gondite_archean,0.63
Odisha,20.6391,85.566,314.5,0.524,28.6,0.216,1179.7,gondite_archean,0.783
Odisha,22.3454,86.1726,212.1,0.671,29.8,0.318,1579.8,gondite_archean,0.734
Odisha,21.1249,85.7172,306.3,0.234,35.4,0.345,1278.3,gondite_archean,0.663
Odisha,20.3169,83.5644,831.4,0.221,31.2,0.132,1309.6,gondite_archean,0.716
Odisha,19.533,83.9791,820.0,0.674,31.6,0.23,1431.5,gondite_archean,0.781
Odisha,22.2432,84.9657,406.5,0.461,22.8,0.1,1511.8,gondite_archean,0.707
Odisha,20.6679,84.5104,384.5,0.581,26.8,0.22,1223.7,gondite_archean,0.669
Maharashtra,21.3421,79.9651,272.0,0.169,26.2,0.229,756.6,gondite_archean,0.807
Karnataka,17.0109,74.9264,160.1,0.587,29.9,0.257,1178.3,archean,0.582
Odisha,21.9573,86.298,655.8,0.313,31.4,0.158,800.7,gondite_archean,0.646
Odisha,21.1257,86.5553,685.8,0.634,32.5,0.258,1634.1,gondite_archean,0.791
Odisha,20.9683,84.2742,890.1,0.716,22.6,0.262,1717.8,gondite_archean,0.786
Goa,15.0272,74.1487,337.9,0.705,37.5,0.333,1221.6,laterite,0.256
Andhra Pradesh,18.7668,83.1382,763.1,0.172,31.5,0.119,832.6,kodurite_archean,0.326
Karnataka,16.711,74.7614,352.2,0.474,34.7,0.146,1388.5,archean,0.527
Goa,15.4927,73.9165,119.5,0.672,22.3,0.312,1281.8,laterite,0.303
Karnataka,16.0788,77.9947,887.3,0.611,28.7,0.176,1511.3,archean,0.693
Odisha,19.8314,84.7412,329.8,0.328,25.7,0.063,719.7,gondite_archean,0.639
Karnataka,16.4177,75.373,860.0,0.622,23.4,0.175,1667.0,archean,0.617
Goa,15.3739,74.1067,233.6,0.745,25.7,0.333,1414.6,laterite,0.379
Odisha,20.0296,84.2717,249.2,0.618,27.6,0.067,1766.0,gondite_archean,0.901
Goa,15.7422,74.2975,239.1,0.388,34.1,0.259,869.3,laterite,0.226
Odisha,21.1109,85.5753,564.1,0.205,36.0,0.13,842.5,gondite_archean,0.672
Goa,15.7645,74.2311,747.6,0.543,30.8,0.076,1149.3,laterite,0.189
Maharashtra,20.2397,78.6621,276.1,0.56,23.2,0.305,1244.7,gondite_archean,0.676
Karnataka,15.8507,77.7987,378.2,0.557,31.1,0.13,1666.5,archean,0.625
Andhra Pradesh,18.8009,83.9167,769.6,0.568,32.9,0.236,1528.0,kodurite_archean,0.498
Odisha,22.1426,86.5515,123.4,0.645,24.1,0.151,1517.9,gondite_archean,0.762
Andhra Pradesh,18.2612,82.5128,329.6,0.52,37.7,0.24,985.8,kodurite_archean,0.368
Madhya Pradesh,22.8899,80.2388,185.6,0.607,30.7,0.339,1076.1,gondite_archean,0.778
Odisha,22.3117,85.9076,154.3,0.331,33.3,0.07,1340.4,gondite_archean,0.673
Karnataka,16.036,74.683,797.2,0.734,37.5,0.275,843.1,archean,0.72
Maharashtra,20.1148,79.0473,897.7,0.406,29.2,0.099,1574.3,gondite_archean,0.68
Maharashtra,19.5519,78.6648,644.4,0.543,26.4,0.335,866.2,gondite_archean,0.762
Karnataka,16.1504,76.0904,319.4,0.74,28.5,0.318,953.0,archean,0.612
Odisha,19.5934,85.7808,394.8,0.669,29.6,0.34,904.1,gondite_archean,0.767
Maharashtra,21.112,80.022,601.0,0.229,22.5,0.326,1378.3,gondite_archean,0.699
Maharashtra,20.2038,78.7346,200.1,0.561,28.9,0.11,1240.8,gondite_archean,0.717
Odisha,21.8927,84.5863,464.2,0.157,23.2,0.168,1227.9,gondite_archean,0.585
Madhya Pradesh,22.0208,79.5599,788.1,0.618,22.6,0.194,815.4,gondite_archean,0.715
Madhya Pradesh,23.4586,78.4772,107.8,0.346,30.3,0.076,1085.7,gondite_archean,0.576
Odisha,19.7357,84.8892,206.2,0.491,33.0,0.29,920.2,gondite_archean,0.801
Odisha,22.3086,83.6819,533.0,0.575,35.9,0.264,1581.9,gondite_archean,0.8
Karnataka,17.2964,74.8205,815.9,0.479,35.1,0.186,1407.9,archean,0.687
Odisha,19.6811,84.3649,227.6,0.673,25.5,0.343,1070.6,gondite_archean,0.762
Odisha,21.8691,85.8055,498.6,0.483,33.5,0.119,1796.0,gondite_archean,0.711
Odisha,21.5407,83.7527,124.5,0.305,29.4,0.31,1499.9,gondite_archean,0.692
Maharashtra,20.0637,79.1919,396.8,0.743,22.6,0.31,1336.5,gondite_archean,0.885
Karnataka,17.6773,78.1028,437.4,0.316,31.5,0.324,931.7,archean,0.502
Madhya Pradesh,23.2105,79.8649,205.3,0.579,36.5,0.104,961.3,gondite_archean,0.701
Odisha,22.1122,85.0586,511.9,0.366,31.5,0.099,1130.2,gondite_archean,0.746
Jharkhand,22.5163,86.3135,360.2,0.614,24.1,0.341,1199.2,archean,0.608
Karnataka,17.3877,76.2236,299.0,0.52,33.3,0.1,884.4,archean,0.461
Odisha,21.7092,85.8233,479.7,0.657,34.9,0.226,1655.1,gondite_archean,0.732
Odisha,19.6713,85.3591,849.3,0.174,24.0,0.186,1727.3,gondite_archean,0.638
Karnataka,15.297,74.6663,218.7,0.742,37.4,0.051,1747.0,archean,0.679
Karnataka,15.3514,76.4554,633.5,0.234,22.5,0.142,1475.1,archean,0.539
Odisha,21.5203,86.8947,175.1,0.554,29.1,0.31,894.9,gondite_archean,0.778
Goa,15.5466,74.0486,594.3,0.671,31.1,0.059,1724.0,laterite,0.36
Maharashtra,20.6913,78.9314,627.1,0.386,32.4,0.082,1423.6,gondite_archean,0.671
Andhra Pradesh,18.6736,83.634,690.8,0.677,28.5,0.148,1434.4,kodurite_archean,0.454
Andhra Pradesh,18.6434,84.0956,448.5,0.641,23.9,0.213,706.3,kodurite_archean,0.333
Karnataka,16.5205,76.0542,459.0,0.293,28.0,0.118,780.5,archean,0.404
Madhya Pradesh,23.3387,78.9559,470.8,0.378,35.8,0.206,1227.1,gondite_archean,0.583
Madhya Pradesh,22.8676,78.8632,711.9,0.638,33.5,0.337,720.1,gondite_archean,0.616
Odisha,19.5227,85.7662,818.4,0.296,36.8,0.068,1727.9,gondite_archean,0.611
Karnataka,13.669,75.6395,345.8,0.632,30.6,0.143,1371.4,archean,0.572
Maharashtra,19.6816,79.3271,197.5,0.259,32.9,0.104,1277.7,gondite_archean,0.606
Madhya Pradesh,21.898,81.7034,486.8,0.634,30.8,0.063,1396.5,gondite_archean,0.744
Jharkhand,23.2032,86.6384,807.4,0.287,25.4,0.233,1152.1,archean,0.438
Maharashtra,19.687,80.1452,439.0,0.551,23.5,0.237,1196.9,gondite_archean,0.669
Madhya Pradesh,21.588,79.895,790.2,0.28,23.5,0.057,1406.2,gondite_archean,0.718
Odisha,20.6727,85.5807,497.4,0.743,24.2,0.259,1144.8,gondite_archean,0.911
Karnataka,16.6644,77.2697,893.0,0.227,23.7,0.267,1336.2,archean,0.495
Odisha,22.1826,84.1715,358.7,0.286,27.7,0.071,1271.0,gondite_archean,0.635
Odisha,21.9011,84.318,532.0,0.678,32.4,0.21,1056.8,gondite_archean,0.822
Jharkhand,23.3237,86.1156,684.5,0.429,23.0,0.219,1753.4,archean,0.484
Odisha,21.57,84.2033,528.7,0.208,29.2,0.277,1082.3,gondite_archean,0.726
Goa,15.1877,73.9997,221.9,0.745,36.8,0.212,1626.2,laterite,0.396
Madhya Pradesh,23.1825,74.713,704.2,0.227,35.2,0.285,1479.6,gondite_archean,0.61
Odisha,22.3109,85.4383,344.4,0.388,29.2,0.23,1267.2,gondite_archean,0.593
Goa,15.3976,74.2961,781.1,0.275,36.9,0.085,1599.2,laterite,0.31
Andhra Pradesh,18.7089,84.0801,343.7,0.199,28.4,0.102,1464.4,kodurite_archean,0.311
Karnataka,18.3415,77.0639,758.0,0.23,35.8,0.327,1235.8,archean,0.623
Odisha,21.0077,84.8953,217.1,0.371,23.1,0.058,848.7,gondite_archean,0.692
Jharkhand,23.0991,86.9316,446.0,0.337,30.1,0.182,816.2,archean,0.436
Madhya Pradesh,23.2757,75.2162,149.1,0.618,29.4,0.067,1794.4,gondite_archean,0.772
Odisha,21.5851,86.9429,291.3,0.235,23.9,0.141,811.2,gondite_archean,0.607
Karnataka,18.4785,77.7559,592.2,0.334,32.0,0.208,1168.7,archean,0.544
Odisha,22.1598,85.0742,255.7,0.371,28.6,0.298,1507.0,gondite_archean,0.655
Odisha,20.2794,86.161,209.7,0.471,25.4,0.054,965.3,gondite_archean,0.495
Jharkhand,23.6031,86.9192,490.3,0.216,30.8,0.186,1628.8,archean,0.518
Odisha,20.474,86.0807,480.8,0.376,28.3,0.188,1563.5,gondite_archean,0.622
Goa,15.7643,74.1935,352.3,0.563,29.0,0.126,1625.0,laterite,0.459
Madhya Pradesh,24.1329,79.0934,591.1,0.19,30.3,0.095,1511.2,gondite_archean,0.597
Karnataka,16.4215,74.6667,167.8,0.58,23.2,0.071,713.3,archean,0.461
Karnataka,17.0352,77.1455,248.2,0.254,23.6,0.248,1540.8,archean,0.463
Odisha,19.5628,83.7876,874.3,0.327,34.3,0.237,1120.1,gondite_archean,0.648
Madhya Pradesh,23.7112,79.1512,524.2,0.175,37.5,0.29,1022.1,gondite_archean,0.625
Jharkhand,23.2038,86.1648,698.5,0.637,32.5,0.088,1072.1,archean,0.505
Karnataka,15.9841,78.2723,292.6,0.223,25.2,0.316,1410.4,archean,0.39
Odisha,21.9478,86.5148,777.2,0.701,26.0,0.277,1206.6,gondite_archean,0.786
Maharashtra,20.6404,78.8549,536.0,0.741,37.0,0.063,881.3,gondite_archean,0.78
Odisha,21.6779,86.3622,270.8,0.454,35.5,0.27,1296.5,gondite_archean,0.721
Odisha,21.1951,85.9111,798.7,0.532,34.2,0.098,1207.7,gondite_archean,0.882
Odisha,20.24,86.0426,893.4,0.21,28.4,0.29,924.4,gondite_archean,0.763
Madhya Pradesh,21.6581,76.8431,727.0,0.483,22.1,0.278,738.8,gondite_archean,0.722
Maharashtra,19.5062,80.4161,394.4,0.346,24.4,0.142,1664.3,gondite_archean,0.801
Goa,15.4744,73.9958,430.1,0.567,22.1,0.236,1091.0,laterite,0.277
Maharashtra,19.2325,79.6764,484.8,0.535,23.0,0.224,1317.6,gondite_archean,0.86
Maharashtra,21.0125,79.0396,760.0,0.449,23.2,0.068,1067.7,gondite_archean,0.761
Maharashtra,20.7692,80.0772,513.8,0.414,24.4,0.148,1177.4,gondite_archean,0.675
Madhya Pradesh,23.5748,81.9868,846.5,0.536,28.7,0.241,1564.2,gondite_archean,0.716
Odisha,20.7297,86.4393,407.1,0.493,31.4,0.105,1098.5,gondite_archean,0.7
Odisha,22.322,84.4075,443.7,0.674,35.5,0.106,1582.9,gondite_archean,0.615
Karnataka,15.1393,75.0339,164.5,0.587,29.9,0.181,1502.5,archean,0.548
Madhya Pradesh,21.4737,80.011,625.6,0.724,23.1,0.067,1010.4,gondite_archean,0.762
Odisha,20.2409,86.6719,299.6,0.313,34.2,0.185,1554.4,gondite_archean,0.673
Odisha,19.688,86.6725,211.4,0.469,28.6,0.154,1689.8,gondite_archean,0.654
Odisha,21.4914,86.8719,548.1,0.712,22.8,0.176,986.2,gondite_archean,0.793
Odisha,21.196,85.1238,877.6,0.515,27.6,0.084,866.4,gondite_archean,0.598
Odisha,20.2529,86.4772,549.0,0.464,23.8,0.308,1495.1,gondite_archean,0.727
Madhya Pradesh,21.286,77.6664,487.8,0.249,37.1,0.305,1435.9,gondite_archean,0.645
Karnataka,14.6765,77.1039,536.3,0.187,30.2,0.292,1205.2,archean,0.467
Odisha,20.4906,86.1486,515.5,0.273,36.0,0.314,1657.6,gondite_archean,0.626
Odisha,20.8537,86.9475,717.6,0.166,23.0,0.189,1700.1,gondite_archean,0.637
Odisha,21.4703,86.3774,404.3,0.615,37.4,0.111,1275.7,gondite_archean,0.943
Odisha,21.8786,85.5216,607.7,0.629,28.3,0.325,1286.3,gondite_archean,0.778
Maharashtra,19.7919,80.2144,824.9,0.316,37.7,0.092,922.2,gondite_archean,0.589
Odisha,22.182,85.79,221.7,0.414,31.8,0.075,1670.7,gondite_archean,0.688
Jharkhand,22.8355,86.9682,634.3,0.531,24.7,0.315,1170.2,archean,0.681
Odisha,19.5378,85.4591,521.9,0.582,36.2,0.074,1504.6,gondite_archean,0.739
Andhra Pradesh,18.3112,83.9205,351.5,0.433,35.1,0.188,1093.6,kodurite_archean,0.356
Karnataka,17.3836,75.8408,239.0,0.577,35.2,0.08,963.9,archean,0.535
Karnataka,16.8674,77.1046,596.7,0.361,35.5,0.191,1777.0,archean,0.489
Madhya Pradesh,21.4419,79.4094,360.1,0.562,23.1,0.102,1641.3,gondite_archean,0.759
Odisha,21.4286,85.9295,510.1,0.333,25.4,0.06,1034.3,gondite_archean,0.618
Madhya Pradesh,24.2841,80.9696,712.9,0.623,32.6,0.128,1697.9,gondite_archean,0.782
Odisha,20.8412,85.1113,791.7,0.478,28.1,0.343,821.8,gondite_archean,0.836
Karnataka,12.2732,77.4596,834.5,0.318,35.7,0.138,1701.8,archean,0.589
Odisha,22.3884,86.0433,343.8,0.648,26.5,0.312,823.8,gondite_archean,0.777
Maharashtra,20.3517,78.6931,293.5,0.157,29.5,0.14,1358.2,gondite_archean,0.559
Maharashtra,19.1204,80.3058,781.8,0.551,31.5,0.318,903.9,gondite_archean,0.642
Odisha,20.2185,86.281,127.7,0.5,37.9,0.307,1273.6,gondite_archean,0.651
Odisha,22.2289,85.8422,763.4,0.677,31.1,0.205,1173.5,gondite_archean,0.755
Karnataka,14.8249,77.5955,581.5,0.686,29.1,0.232,1394.4,archean,0.726
Odisha,21.0371,83.8648,407.6,0.443,32.4,0.335,1360.7,gondite_archean,0.762
Maharashtra,20.2657,79.7682,156.7,0.303,27.8,0.192,750.2,gondite_archean,0.62
Jharkhand,22.6627,85.9641,256.9,0.516,26.5,0.112,1268.2,archean,0.514
Odisha,19.523,84.2667,129.4,0.215,27.4,0.291,1329.3,gondite_archean,0.528
Goa,15.3176,73.8435,593.7,0.218,27.5,0.202,1661.6,laterite,0.256
Karnataka,16.5647,78.4713,205.2,0.315,28.3,0.177,1152.1,archean,0.544
Madhya Pradesh,22.0828,80.5903,864.0,0.643,22.0,0.241,756.2,gondite_archean,0.759
Odisha,19.6786,85.6133,649.3,0.219,28.1,0.187,1106.0,gondite_archean,0.628
Maharashtra,19.1775,78.6604,383.8,0.715,32.7,0.254,1098.1,gondite_archean,0.68
Madhya Pradesh,21.0355,79.0888,830.6,0.518,36.0,0.267,832.6,gondite_archean,0.623
Odisha,20.7661,84.5326,488.8,0.496,22.7,0.087,1314.5,gondite_archean,0.702
Karnataka,16.7396,77.1092,776.5,0.565,28.9,0.252,1002.9,archean,0.649
Karnataka,17.1895,77.7897,786.0,0.7,28.9,0.146,1340.4,archean,0.557
Karnataka,15.907,77.3223,650.7,0.375,24.7,0.179,856.9,archean,0.508
Odisha,19.5763,85.7604,609.5,0.354,23.1,0.173,1042.3,gondite_archean,0.722
Maharashtra,20.5144,79.2292,274.3,0.743,29.3,0.256,854.6,gondite_archean,0.715
Karnataka,18.2661,76.0368,131.2,0.169,28.2,0.098,725.7,archean,0.475
Maharashtra,20.1463,79.0785,820.1,0.22,37.3,0.144,1677.2,gondite_archean,0.737
Jharkhand,22.5768,86.9223,411.6,0.381,27.4,0.212,869.6,archean,0.56
Madhya Pradesh,22.896,80.0952,766.9,0.414,26.8,0.128,914.1,gondite_archean,0.659
Odisha,22.3993,85.452,377.8,0.498,24.2,0.183,1388.9,gondite_archean,0.674
Karnataka,14.6116,78.4754,804.3,0.524,31.1,0.236,921.4,archean,0.534
Karnataka,15.5297,75.411,871.2,0.696,33.6,0.21,1657.0,archean,0.611
Odisha,21.8715,83.9369,735.4,0.315,36.0,0.333,863.7,gondite_archean,0.697
Karnataka,17.6131,76.8549,400.3,0.321,25.3,0.279,1125.2,archean,0.534
Karnataka,15.2001,76.8091,792.5,0.738,28.5,0.298,1541.0,archean,0.672
Odisha,19.8278,86.4889,451.3,0.658,36.3,0.069,1671.8,gondite_archean,0.741
Karnataka,15.3178,77.0064,841.1,0.161,29.6,0.256,1495.0,archean,0.458
Odisha,20.5761,86.3155,323.0,0.276,37.3,0.053,1797.6,gondite_archean,0.689
Maharashtra,21.0712,79.0892,111.5,0.593,35.3,0.272,857.1,gondite_archean,0.776
Madhya Pradesh,23.6814,80.7674,590.9,0.203,29.8,0.073,1148.3,gondite_archean,0.683
Karnataka,12.4291,75.8953,188.8,0.635,37.2,0.072,1750.6,archean,0.463
Odisha,21.0019,86.2808,665.7,0.18,23.2,0.171,1024.8,gondite_archean,0.647
Odisha,20.343,86.3122,843.4,0.393,36.5,0.146,1224.1,gondite_archean,0.722
Jharkhand,23.207,85.7156,618.3,0.224,36.2,0.201,1194.3,archean,0.424
Madhya Pradesh,23.1867,74.5742,646.1,0.295,33.4,0.297,1584.4,gondite_archean,0.757
Odisha,21.826,84.4499,497.4,0.321,24.1,0.239,759.8,gondite_archean,0.852
Maharashtra,19.794,78.5003,508.9,0.178,26.4,0.262,769.0,gondite_archean,0.691
Karnataka,12.6623,75.9409,316.3,0.656,27.0,0.287,1681.1,archean,0.558
Karnataka,17.9146,76.0093,871.3,0.204,33.0,0.198,1126.4,archean,0.604
Odisha,20.0009,85.9957,633.1,0.73,34.2,0.335,1472.8,gondite_archean,0.835
Odisha,19.8161,86.2364,615.3,0.179,27.8,0.337,1250.4,gondite_archean,0.553
Odisha,20.6061,84.7943,141.9,0.611,28.7,0.297,1635.4,gondite_archean,0.586
Odisha,21.4721,85.153,804.1,0.279,32.8,0.232,1024.8,gondite_archean,0.684
Maharashtra,19.7891,79.7897,416.1,0.578,25.2,0.317,1016.2,gondite_archean,0.662
Karnataka,12.3776,74.946,512.7,0.311,35.4,0.054,1117.0,archean,0.495
Karnataka,14.6279,76.6238,576.1,0.156,29.4,0.339,1270.9,archean,0.443
Maharashtra,19.7797,80.048,718.3,0.463,37.6,0.088,718.6,gondite_archean,0.718
Odisha,20.2967,83.5614,334.6,0.614,30.3,0.154,1108.9,gondite_archean,0.76
Odisha,20.3994,85.7626,879.4,0.658,22.4,0.32,1561.5,gondite_archean,0.741
Karnataka,13.969,74.7628,282.6,0.298,29.7,0.274,1221.2,archean,0.638
Odisha,22.3734,86.7995,728.2,0.745,30.7,0.339,783.2,gondite_archean,0.666
